"","File","Query","SolutionStr","MySolutionStr"
"258","13730.txt","p = interpolator.interpolate(xval, wyval, wzval);","p = interpolator.interpolate(xval, wyval, zval);","p = interpolator.interpolate(xval, wyval, zval);"
"259","13756.txt","listeners.remove(listener);","listeners.add(listener);","listeners.add(listener);"
"260","13762.txt","return init().read(b, off, len);","return init().read();","return init().read();"
"261","13766.txt","EJB3SubsystemRootResourceDefinition.DEFAULT_CLUSTERED_SFSB_CACHE.parseAndSetParameter(value, ejb3SubsystemAddOperation, reader);","// Ignored","EJB3SubsystemRootResourceDefinition.DEFAULT_SFSB_CACHE.parseAndSetParameter(value, ejb3SubsystemAddOperation, reader);"
"262","13796.txt","content.clear();","content.setEmptyList();","context.completeStep();"
"263","1381.txt","throw XtsAsMessages.MESSAGES.txBridgeInboundRecoveryServiceFailedToStart();","throw new StartException(""TxBridge inbound recovery service start failed"", e);","final ClassLoader loader = TxBridgeInboundRecoveryService.class.getClassLoader();"
"264","13816.txt","if(tuple.getSourceStreamId().equals(Constants.SYSTEM_TICK_STREAM_ID)) {","if(tuple.isTick()) {","if(ct.equals(CoordType.single())) {"
"265","1382.txt","throw XtsAsMessages.MESSAGES.txBridgeOutboundRecoveryServiceFailedToStart();","throw new StartException(""TxBridge outbound recovery service start failed"", e);","final ClassLoader loader = TxBridgeOutboundRecoveryService.class.getClassLoader();"
"266","13854.txt","throw new NullPointerException(""directory must not be null"");","throw new NullPointerException(""directorydirectory must not be null"");","throw new NullPointerException(""Source must not be null"");"
"267","13864.txt","if (defaultValue != null && defaultValue.isDefined()) {","if (!forOperation && defaultValue != null && defaultValue.isDefined()) {","if (defaultValue != null) {"
"268","13881.txt","throw new CommandFormatException(""'"" + value + ""' doesn't follow format {rollout server_group_list [rollback-across-groups]}"");","return null;","throw new CommandFormatException(""Too many headers: "" + headers);"
"269","13882.txt","if (!ctx.isEndOfContent()) {","if (ctx.getCharacter() == '}') {","if(!ctx.isEndOfContent()) {"
"270","13887.txt","if (!hostControllerInfo.isMasterDomainController() && !environment.isUseCachedDc()) {","if (!hostControllerInfo.isMasterDomainController()) {","if (!hostControllerInfo.isMasterDomainController()) {"
"271","1390.txt","Utils.getInt(conf.get(Config.STORM_ZOOKEEPER_CONNECTION_TIMEOUT)),","15000,","Utils.getInt(conf.get(Config.STORM_ZOOKEEPER_SESSION_TIMEOUT)),"
"272","13915.txt","} catch (Exception iae) {","} catch (IllegalArgumentException iae) {","} catch (Exception e) {"
"273","13935.txt","if(descr != null && (descr.contains(""JBAS014807"") || descr.contains(""JBAS014793""))) {","if(descr != null && descr.contains(""JBAS014807"")) {","if(descr != null && descr.contains(""JBAS014807"")) {"
"274","13939.txt","return transformers.transformRootResource(context, root);","return transformers.transformResource(Transformers.Factory.getTransformationContext(transformers, context), root);","final Resource root = transformResource(context, untransformedRoot);"
"275","13955.txt","bd.addConfigurations(m);","scd.addConfigurations(m);","scd.addConfigurations(m);"
"276","13956.txt","if (context.isRollbackOnRuntimeFailure()) {","if (ModelControllerImpl.RB_ON_RT_FAILURE.get() == Boolean.TRUE) {","if (!controller.getSubstate().isRestState()) {"
"277","1399.txt","if (rollbackOperation == null || !rollbackOperation.isDefined()) {","if (rollbackOperation == null) {","if (rollbackStepOutcome == null || !rollbackStepOutcome.isDefined()) {"
"278","1400.txt","sb.append(config.getRowDelimiter());","sb.append(""\n"");","sb.append(config.getDelimiter());"
"279","14093.txt","FileStoreResourceDefinition.RELATIVE_PATH.parseAndSetParameter(value, store, reader);","FileStoreResourceDefinition.PATH.parseAndSetParameter(value, store, reader);","FileStoreResourceDefinition.RELATIVE_TO.parseAndSetParameter(value, store, reader);"
"280","14094.txt","FileStoreResourceDefinition.RELATIVE_PATH.parseAndSetParameter(value, store, reader);","FileStoreResourceDefinition.PATH.parseAndSetParameter(value, store, reader);","FileStoreResourceDefinition.RELATIVE_TO.parseAndSetParameter(value, store, reader);"
"281","14095.txt","FileStoreResourceDefinition.RELATIVE_PATH.parseAndSetParameter(value, store, reader);","FileStoreResourceDefinition.PATH.parseAndSetParameter(value, store, reader);","FileStoreResourceDefinition.RELATIVE_TO.parseAndSetParameter(value, store, reader);"
"282","14125.txt","UriUtils.encodeUri(""http://www.google.com/?q=z\u00fcrich"", ENC));","UriUtils.encodeUri(""http://www.google.com/?q=zrich"", ENC));","UriUtils.encodeUri(""docs/guide/collections/designfaq.html#28"", ENC));"
"283","14153.txt","builder.addDependency(DependencyType.OPTIONAL, RegistryInstallerService.SERVICE_NAME);","builder.addDependency(RegistryInstallerService.SERVICE_NAME);","builder.addDependency(DependencyType.OPTIONAL, EJBRemoteConnectorService.SERVICE_NAME);"
"284","14154.txt","builder.addDependency(DependencyType.OPTIONAL, RegistryInstallerService.SERVICE_NAME);","builder.addDependency(RegistryInstallerService.SERVICE_NAME);","builder.addDependency(DependencyType.OPTIONAL, EJBRemoteConnectorService.SERVICE_NAME);"
"285","14161.txt","return this.id.hashCode();","return this.id.hashCode() ^ this.attribute.hashCode();","return this.id;"
"286","14170.txt","new Percentile(0);","percentile = new Percentile(0);","return new Percentile(95.0);"
"287","14172.txt","checkReadAttributeOperationDescription(result.get(RESULT));","assertFalse(result.get(RESULT).isDefined());","checkRootSubModelDescription(result.get(RESULT), true);"
"288","14175.txt","return new ValueManagedReference(new ImmediateValue<Object>(targetValueToInject));","new ValueManagedReference(new ImmediateValue<Object>(targetValueToInject));","return new ValueManagedReference(new ImmediateValue<Object>(entityManager));"
"289","14194.txt","return (this.start < other.start ? -1 : (this.start == other.start ? 0 : 1));","return Integer.compare(this.start, other.start);","return (this.start == other.start && this.end == other.end);"
"290","14202.txt","protected void parseDatabaseDataStore(final XMLExtendedStreamReader reader, final List<ModelNode> operations) throws XMLStreamException {","private void parseDatabaseDataStore(final XMLExtendedStreamReader reader, final List<ModelNode> operations) throws XMLStreamException {","protected void parsePassivationStore(final XMLExtendedStreamReader reader, List<ModelNode> operations) throws XMLStreamException {"
"291","14229.txt",".setAllowExpression(true)",".setAllowExpression(false)",".setAllowExpression(true)"
"292","14232.txt","Assert.assertEquals(""a"",response.getFirstHeader(SessionOperationServlet.REMOVED_ATTRIBUTES).getValue());","Assert.assertFalse(response.containsHeader(SessionOperationServlet.REMOVED_ATTRIBUTES));","Assert.assertEquals(""a"", response.getFirstHeader(SessionOperationServlet.REMOVED_ATTRIBUTES).getValue());"
"293","14256.txt","Assert.assertTrue(result.next());","junit.framework.Assert.assertTrue(result.next());","Assert.assertFalse(result.next());"
"294","143.txt",".setValidator(new IntRangeValidator(1, 500, true, false))",".setValidator(new IntRangeValidator(1, 200, true, false))",".setValidator(new IntRangeValidator(1, 100, true, false))"
"295","1435.txt","public CpioArchiveEntry getNextEntry() throws IOException {","public ArchiveEntry getNextEntry() throws IOException {","public CpioArchiveEntry getNextCPIOEntry() throws IOException {"
"296","1442.txt","handleElementText(reader, element, ClusterConnectionDefinition.ADDRESS.getName(), clusterConnectionAdd);","handleElementText(reader, element, CommonAttributes.CLUSTER_CONNECTION_ADDRESS.getName(), clusterConnectionAdd);","handleElementText(reader, element, clusterConnectionAdd);"
"297","1445.txt","public void ejbHomeResetId() {","void ejbHomeResetId() {","public void ejbRemove() {"
"298","14450.txt","return false;","return true;","return true;"
"299","14452.txt","if (isQuoteChar(intch)) {","if (isEncapsulator(intch)) {","if (isCommentStart(intch)) {"
"300","1446.txt","public void ejbHomeResetId() {","void ejbHomeResetId() {","public void ejbRemove() {"
"301","1447.txt","public void ejbHomeResetId() {","void ejbHomeResetId() {","public void ejbRemove() {"
"302","14479.txt","Assert.assertEquals(""hello"", ejb.getRemoteViaWrappedHandle());","Assert.assertEquals(""hello"", ejb.getRemoteViaHandleMessage());","Assert.assertEquals(""hello"", ejb.getRemoteViaHandleMessage());"
"303","1448.txt","public void ejbHomeResetId() {","void ejbHomeResetId() {","public void ejbRemove() {"
"304","14480.txt","context.stepCompleted();","context.completeStep(OperationContext.RollbackHandler.NOOP_ROLLBACK_HANDLER);","return context.isNormalServer();"
"305","14481.txt","context.stepCompleted();","context.completeStep(OperationContext.RollbackHandler.NOOP_ROLLBACK_HANDLER);","return context.isNormalServer();"
"306","14482.txt","context.stepCompleted();","context.completeStep(OperationContext.RollbackHandler.NOOP_ROLLBACK_HANDLER);","controller.addListener(listener);"
"307","14483.txt","context.stepCompleted();","context.completeStep(OperationContext.RollbackHandler.NOOP_ROLLBACK_HANDLER);","context.getResult();"
"308","14485.txt","context.stepCompleted();","context.completeStep(OperationContext.RollbackHandler.NOOP_ROLLBACK_HANDLER);","context.getResult().set(name);"
"309","14486.txt","context.stepCompleted();","context.completeStep(OperationContext.RollbackHandler.NOOP_ROLLBACK_HANDLER);","context.getResult().set(name);"
"310","14487.txt","context.stepCompleted();","context.completeStep(OperationContext.RollbackHandler.NOOP_ROLLBACK_HANDLER);","context.reloadRequired();"
"311","14488.txt","context.stepCompleted();","context.completeStep(OperationContext.RollbackHandler.NOOP_ROLLBACK_HANDLER);","context.getResult().set(subsystems);"
"312","1449.txt","public void ejbHomeResetId() {","void ejbHomeResetId() {","public void ejbRemove() {"
"313","14491.txt","context.stepCompleted();","context.completeStep(OperationContext.RollbackHandler.NOOP_ROLLBACK_HANDLER);","context.reloadRequired();"
"314","14493.txt","context.stepCompleted();","context.completeStep(OperationContext.RollbackHandler.NOOP_ROLLBACK_HANDLER);","context.completeStep(OperationContext.RollbackHandler.NOOP_ROLLBACK_HANDLER);"
"315","1450.txt","public void ejbHomeResetId() {","void ejbHomeResetId() {","public void ejbRemove() {"
"316","14500.txt","context.stepCompleted();","context.completeStep(OperationContext.RollbackHandler.NOOP_ROLLBACK_HANDLER);","copy.get(OP_ADDR).set(mapped.toModelNode());"
"317","14501.txt","context.stepCompleted();","context.completeStep(OperationContext.RollbackHandler.NOOP_ROLLBACK_HANDLER);","context.revertRestartRequired();"
"318","14503.txt","context.stepCompleted();","context.completeStep(OperationContext.RollbackHandler.NOOP_ROLLBACK_HANDLER);","container.shutdown();"
"319","14509.txt","throw new CommandLineException(""else request failed: "" + Util.getFailureDescription(response));","new CommandLineException(""else request failed: "" + Util.getFailureDescription(response));","throw new CommandLineException(""else request failed"", e);"
"320","1451.txt","public void ejbHomeResetId() {","void ejbHomeResetId() {","public void ejbRemove() {"
"321","14638.txt","if (lines.isEmpty()) {","if (lines.size() == 0) {","if (lines.size() < 2) {"
"322","14643.txt","public void testCopy_ByteArray_OutputStream() throws Exception {","public void testByteArrayToOutputStream() throws Exception {","public void testToByteArray_InputStream_Size() throws Exception {"
"323","14654.txt",".setDefaultValue(new ModelNode(20))",".setDefaultValue(new ModelNode(60))",".setDefaultValue(new ModelNode(60))"
"324","1469.txt","Assert.assertEquals(""hello"", ejb.getRemoteViaHandleMessage());","Assert.assertEquals(""hello"", ejb.getRemoteViaWrappedHandle());","Assert.assertEquals(""hello"", ejb.getRemoteViaHomeHandleMessage());"
"325","1470.txt","protected void performRuntime(OperationContext context, ModelNode operation, ModelNode model) throws OperationFailedException {","protected void performRemove(OperationContext context, ModelNode operation, ModelNode model) throws OperationFailedException {","protected void recoverServices(OperationContext context, ModelNode operation, ModelNode model) throws OperationFailedException {"
"326","1471.txt","protected void performRuntime(OperationContext context, ModelNode operation, ModelNode model) throws OperationFailedException {","protected void performRemove(OperationContext context, ModelNode operation, ModelNode model) throws OperationFailedException {","protected void recoverServices(OperationContext context, ModelNode operation, ModelNode model) throws OperationFailedException {"
"327","14714.txt","continue;","throw new IllegalStateException(""Failed to get public resource URL path for "" + pathWithinMapping);","return null;"
"328","14718.txt","@Deprecated static final String BATCHING = ""batching"";","static final String BATCHING = ""batching"";","@Deprecated static final String VIRTUAL_NODES = ""virtual-nodes"";"
"329","1472.txt","protected void performRuntime(OperationContext context, ModelNode operation, ModelNode model) throws OperationFailedException {","protected void performRemove(OperationContext context, ModelNode operation, ModelNode model) throws OperationFailedException {","protected void recoverServices(OperationContext context, ModelNode operation, ModelNode model) throws OperationFailedException {"
"330","1473.txt","protected void performRuntime(OperationContext context, ModelNode operation, ModelNode model) throws OperationFailedException {","protected void performRemove(OperationContext context, ModelNode operation, ModelNode model) throws OperationFailedException {","protected void recoverServices(OperationContext context, ModelNode operation, ModelNode model) throws OperationFailedException {"
"331","14730.txt","class ComparatorUtils {","public class ComparatorUtils {","public ComparatorUtils() {"
"332","14735.txt","throw new RuntimeException(e);","// ignore","entity = response.getEntity();"
"333","14736.txt","public interface RPattern {","public static interface RPattern {","public interface PhonemeExpr {"
"334","14737.txt","deployed.put(deploymentName, new DeploymentMarker(doDeployTimestamp, archive));","deployed.put(deploymentName, new DeploymentMarker(deployedMarker.lastModified(), archive));","deployed.put(deploymentName, new DeploymentMarker(markerLastModified, archive));"
"335","1474.txt","protected void performRuntime(OperationContext context, ModelNode operation, ModelNode model) throws OperationFailedException {","protected void performRemove(OperationContext context, ModelNode operation, ModelNode model) throws OperationFailedException {","protected void recoverServices(OperationContext context, ModelNode operation, ModelNode model) throws OperationFailedException {"
"336","1475.txt","protected void performRuntime(OperationContext context, ModelNode operation, ModelNode model) throws OperationFailedException {","protected void performRemove(OperationContext context, ModelNode operation, ModelNode model) throws OperationFailedException {","protected void recoverServices(OperationContext context, ModelNode operation, ModelNode model) throws OperationFailedException {"
"337","1476.txt","protected void performRuntime(OperationContext context, ModelNode operation, ModelNode model) throws OperationFailedException {","protected void performRemove(OperationContext context, ModelNode operation, ModelNode model) throws OperationFailedException {","protected void recoverServices(OperationContext context, ModelNode operation, ModelNode model) throws OperationFailedException {"
"338","1477.txt","protected void performRuntime(OperationContext context, ModelNode operation, ModelNode model) throws OperationFailedException {","protected void performRemove(OperationContext context, ModelNode operation, ModelNode model) throws OperationFailedException {","protected void recoverServices(OperationContext context, ModelNode operation, ModelNode model) throws OperationFailedException {"
"339","14788.txt","header.addTo(headersNode);","headersNode.add().set(header.toModelNode());","headers.add(header);"
"340","14789.txt","public static final CharacterHandler NOOP_CHARACTER_HANDLER = new CharacterHandler(){","static final CharacterHandler NOOP_CHARACTER_HANDLER = new CharacterHandler(){","public static final CharacterHandler CONTENT_CHARACTER_HANDLER = new CharacterHandler() {"
"341","14790.txt","if (ctx.getCharacter() == '}') {","if (!ctx.isEndOfContent()) {","if (buffer.length() == 0) {"
"342","14819.txt","subModel.get(RECOVERY_ENVIRONMENT, RECOVERY_LISTENER).set(operation.get(RECOVERY_ENVIRONMENT, RECOVERY_LISTENER));","subModel.get(RECOVERY_ENVIRONMENT, STATUS_BINDING).set(operation.get(RECOVERY_ENVIRONMENT, STATUS_BINDING));","subModel.get(CORE_ENVIRONMENT, RELATIVE_TO).set(operation.get(CORE_ENVIRONMENT, RELATIVE_TO));"
"343","14826.txt","context.stepCompleted();","context.completeStep(OperationContext.RollbackHandler.NOOP_ROLLBACK_HANDLER);","context.getResult().set(hash);"
"344","14830.txt","context.stepCompleted();","context.completeStep(OperationContext.RollbackHandler.NOOP_ROLLBACK_HANDLER);","super.execute(context, operation);"
"345","14834.txt","context.stepCompleted();","context.completeStep(OperationContext.RollbackHandler.NOOP_ROLLBACK_HANDLER);","context.getResult().set(runningModeControl.getRunningMode().name());"
"346","14835.txt","context.stepCompleted();","context.completeStep(OperationContext.RollbackHandler.NOOP_ROLLBACK_HANDLER);","context.revertReloadRequired();"
"347","14837.txt","context.stepCompleted();","context.completeStep(OperationContext.RollbackHandler.NOOP_ROLLBACK_HANDLER);","context.getResult().set(model);"
"348","14838.txt","context.stepCompleted();","context.completeStep(OperationContext.RollbackHandler.NOOP_ROLLBACK_HANDLER);","context.getResult().set(model);"
"349","14845.txt","protected static final PathElement PATH_PERSISTENT_SESSIONS = PathElement.pathElement(Constants.SETTING, Constants.PERSISTENT_SESSIONS);","protected static final PathElement PATH_DEVELOPMENT_MODE = PathElement.pathElement(Constants.SETTING, Constants.DEVELOPMENT_MODE);","protected static final PathElement PATH_SERVLET_CONTAINER = PathElement.pathElement(Constants.SERVLET_CONTAINER);"
"350","1486.txt","PatchManagementLogger.ROOT_LOGGER.debugf(t, ""failed to get history"");","t.printStackTrace();","throw PatchManagementMessages.MESSAGES.failedToShowHistory(t);"
"351","14870.txt","return new HashMap<String, String>();","return null;","Map<String, String> props = new HashMap<String, String>();"
"352","14876.txt","return other instanceof ParamNameList && equals((ParamNameList)other);","return other instanceof ParamList && equals((ParamList)other);","return other instanceof ParamList && equals((ParamList)other);"
"353","14882.txt","Method m2 = getNameMethod;","// Method m2 = getNameMethod;","Method m = getNameMethod;"
"354","1489.txt","throw PatchMessages.MESSAGES.patchTypesDontMatch();","throw new RuntimeException(""patch types don't match"");","throw PatchMessages.MESSAGES.illegalPatchName(patchId);"
"355","149.txt","return sourceCollection;","return source;","return source;"
"356","14913.txt","context.removeService(ChannelService.getFactoryServiceName(ChannelService.DEFAULT));","context.removeService(ChannelService.getStackServiceName(ChannelService.DEFAULT));","context.removeService(ChannelFactoryService.getServiceName(ChannelFactoryService.DEFAULT));"
"357","14916.txt","if (ejbMethodSecurityMetaData.isDenyAll()) {","if (ejbMethodSecurityMetaData.isAccessDenied()) {","if (!ejbMethodSecurityMetaData.isPermitAll()) {"
"358","14917.txt","throw new PasswordRequiredException();","throw new IOException(""Cannot read encrypted files without a password"");","throw ioe;"
"359","14929.txt","@Ignore(""causing an osgi error during server reload"")","//@Ignore(""AS7-4185"")","@Test"
"360","14934.txt","int RETURN_DOMAIN_MODEL = 0x13;","int PARAM_DOMAIN_MODEL = 0x13;","int RETURN_HOST_MODEL = 0x63;"
"361","14938.txt","return this.id.hashCode();","return this.id.hashCode() ^ this.attribute.hashCode();","return this.id;"
"362","14946.txt","if(tuple.isTick()) {","if(tuple.getSourceStreamId().equals(Constants.SYSTEM_TICK_STREAM_ID)) {","if(ct.equals(CoordType.single())) {"
"363","14949.txt","registration.registerSubModel(new PropertyResourceDefinition());","registration.registerSubModel(PropertyResourceDefinition.INSTANCE);","registration.registerSubModel(new RemoteSiteResourceDefinition());"
"364","1495.txt",".setAllowExpression(false)",".setAllowExpression(true)",".setAllowExpression(true)"
"365","14950.txt","modulesDir = serverEnvironment.getModulesDir();","modulesDir = new File(serverEnvironment.getHomeDir() + File.separator + ""modules"");","bundlesDir = serverEnvironment.getBundlesDir();"
"366","14976.txt","new DoubleRange(nonComparableNumber);","Range r = new DoubleRange(nonComparableNumber);","new DoubleRange(Double.NaN);"
"367","14977.txt","new FloatRange(nonComparableNumber);","Range r = new FloatRange(nonComparableNumber);","new FloatRange(null);"
"368","14978.txt","new IntRange(nonComparableNumber);","Range r = new IntRange(nonComparableNumber);","new IntRange(null);"
"369","14979.txt","new LongRange(nonComparableNumber);","Range r = new LongRange(nonComparableNumber);","new LongRange(null);"
"370","1498.txt","if(protocol != null) connector.get(PROTOCOL).set(protocol);","connector.get(PROTOCOL).set(protocol);","if(proxyPort != null) connector.get(PROXY_PORT).set(proxyPort);"
"371","15010.txt","final ServiceName baseName = configuration.getComponentDescription().getServiceName();","final ServiceName baseName = deploymentUnit.getServiceName().append(""component"").append(componentName);","final ServiceName serviceName = viewConfiguration.getViewServiceName();"
"372","15015.txt","state.cleanupBefore(txid);","state.commit(txid);","_state.close();"
"373","1504.txt","root.registerOperationHandler(SubsystemDescriptionDump.DEFINITION, dumper, false);","root.registerOperationHandler(SubsystemDescriptionDump.OPERATION_NAME, dumper, SubsystemDescriptionDump.DESCRIPTION, false, OperationEntry.EntryType.PRIVATE, EnumSet.of(OperationEntry.Flag.READ_ONLY));","root.registerOperationHandler(DeploymentFullReplaceHandler.OPERATION_NAME, dfrh, dfrh);"
"374","15053.txt","} else if (attributeName.equals(CommonAttributes.RECONNECT_ATTEMPTS.getName())) {","} else if (attributeName.equals(Common.RECONNECT_ATTEMPTS.getName())) {","} else if (attributeName.equals(CommonAttributes.CALL_TIMEOUT.getName())) {"
"375","15069.txt","buf.append("": "").append(t1.getClass().getName());","t1.printStackTrace();","buf.append("": "").append(t1.getLocalizedMessage());"
"376","15082.txt",".setDeploymentName(deploymentUnit.getName())",".setDeploymentName(pathName) //todo: is this deployment name concept really applicable?",".setDeploymentRoot(deploymentRoot)"
"377","15089.txt",".setElementValidator(new StringLengthValidator(1))",".setValidator(new StringLengthValidator(1))",".setValidator(new StringLengthValidator(1))"
"378","15093.txt",".setElementValidator(new StringLengthValidator(1, true, true))",".setValidator(new StringLengthValidator(1, true, true))",".setValidator(new StringLengthValidator(1, true, true))"
"379","15101.txt","public static final ServiceName JBOSS_SERVER_EXECUTOR = JBOSS_AS.append(""server-executor"");","static final ServiceName JBOSS_SERVER_EXECUTOR = JBOSS_AS.append(""server-executor"");","public static final ServiceName JBOSS_SERVER_CONTROLLER = JBOSS_AS.append(""server-controller"");"
"380","15158.txt","throw InfinispanMessages.MESSAGES.failedToParse(e, url);","throw new IllegalStateException(String.format(""Failed to parse %s"", url), e);","throw InfinispanMessages.MESSAGES.failedToInjectSocketBinding(e, value);"
"381","15179.txt","if (includedGroup == null) {","if (group == null) {","if (group == null) {"
"382","15180.txt","ROOT_LOGGER.existingServerWithState(serverName, server.getState());","ROOT_LOGGER.existingServerWithState(serverName, existing.getState());","ROOT_LOGGER.existingServerWithState(serverName, existing.getState());"
"383","15201.txt","bootContext.addDeploymentProcessor(Phase.POST_MODULE, Phase.POST_MODULE_DATASOURCE_REF,","bootContext.addDeploymentProcessor(Phase.INSTALL, Phase.INSTALL_DATASOURCE_REF,","bootContext.addDeploymentProcessor(Phase.PARSE, Phase.PARSE_DATA_SOURCE_DEFINITION_ANNOTATION,"
"384","15219.txt","public void testBindLocalDateWithSpecifcFormatter() throws Exception {","public void testBindLocalDateWithSpecificFormatter() throws Exception {","public void testBindLocalTimeWithSpecificFormatter() throws Exception {"
"385","15250.txt","public void testWalk() {","public void testWalk() throws MathUserException {","public void testAddFail() {"
"386","15251.txt","public void testWalk() {","public void testWalk() throws MathUserException {","public void testAddFail() {"
"387","15252.txt","public void testWalk() {","public void testWalk() throws MathUserException {","public void testAddFail() {"
"388","15253.txt","public void testWalk() {","public void testWalk() throws MathUserException {","public void testAddFail() {"
"389","1526.txt","Assert.notNull(""Content must not be null"");","Assert.notNull(""content is required"");","Assert.notNull(format, ""format must not be null"");"
"390","15299.txt","assertEquals(""guest"", headers.getPasscode());","assertEquals(""PROTECTED"", headers.getPasscode());","assertEquals(""guest"", headers.getLogin());"
"391","15302.txt","process(eeModuleDescription, targetDescription.getDeclaredValueClassName(), annotation.beanName(), annotation.lookup(), methodInfo.declaringClass(), targetDescription, localContextName);","process(eeModuleDescription, targetDescription.getClassName(), annotation.beanName(), annotation.lookup(), methodInfo.declaringClass(), targetDescription, localContextName);","process(eeModuleDescription, targetDescription.getDeclaredValueClassName(), annotation.beanName(), annotation.lookup(), fieldInfo.declaringClass(), targetDescription, localContextName);"
"392","15313.txt","state.pushActiveContextObject(new TypedValue(entry,TypeDescriptor.valueOf(Map.Entry.class)));","state.pushActiveContextObject(new TypedValue(new KeyValuePair(entry.getKey(), entry.getValue()),TypeDescriptor.valueOf(KeyValuePair.class)));","state.pushActiveContextObject(new TypedValue(element,TypeDescriptor.valueOf(op.getTypeDescriptor().getType())));"
"393","15316.txt","this.name = String.format(""//%s/%s"", this.hostName, this.contextName.isEmpty() ? ""ROOT"" : this.contextName);","this.name = String.format(""//%s/%s"", this.hostName, this.contextName);","log.trace(""processExpirationPassivation(): Looking for sessions that have expired ..."");"
"394","15319.txt",".setDefaultValue(new ModelNode().set(5000L))",".setDefaultValue(new ModelNode().set(1L))",".setDefaultValue(new ModelNode().set(25000L))"
"395","15333.txt","public static final OperationHandler RESOLVE = new ResolveAddressOperationHandler();","public static final ResolveAddressOperationHandler RESOLVE = new ResolveAddressOperationHandler();","public static final OperationHandler READ_CHILDREN_NAMES = new ReadChildrenNamesOperationHandler();"
"396","15345.txt","15000,","Utils.getInt(conf.get(Config.STORM_ZOOKEEPER_CONNECTION_TIMEOUT)),","zkStr,"
"397","15364.txt","bd.addConfigurations(m);","scd.addConfigurations(m);","scd.addConfigurations(m);"
"398","15365.txt","localFileRepository.deleteDeployment(deploymentHash);","//NOOP","localPath = localFileRepository.getDeploymentRoot(hash);"
"399","15367.txt","super();","; // empty constructor","public static Iterator iterator(Class enumClass) {"
"400","15398.txt","assertEquals(Locale.GERMANY, format1.getLocale());","assertSame(Locale.GERMANY, format1.getLocale());","assertEquals(Locale.GERMANY, format2.getLocale());"
"401","15411.txt","if (!StringUtils.isEmpty(value)) {","if (value != null) {","if (iterator.hasNext()) {"
"402","15519.txt","monitor.clear();","monitor.removeController(phaseService);","monitor.addController(phaseService);"
"403","15523.txt","tmp = serverTempDir;","tmp = new File(serverBaseDir, ""tmp"");","serverTempDir = tmp;"
"404","1553.txt","if(cookieConfig.getComment() != null) {","if(cookieConfig.getDomain() != null) {","if(cookieConfig.getDomain() != null) {"
"405","15530.txt","cal1.get(Calendar.HOUR_OF_DAY) == cal2.get(Calendar.HOUR_OF_DAY) &&","cal1.get(Calendar.HOUR) == cal2.get(Calendar.HOUR) &&","cal1.get(Calendar.ERA) == cal2.get(Calendar.ERA) &&"
"406","15547.txt",".setElementValidator(new StringLengthValidator(1))",".setValidator(new StringLengthValidator(1))",".setValidator(new StringLengthValidator(1))"
"407","15550.txt",".setElementValidator(new StringLengthValidator(1, true, true))",".setValidator(new StringLengthValidator(1, true, true))",".setValidator(new StringLengthValidator(1, true, true))"
"408","15563.txt","public static void assertFileDoesNotExist(File rootFile, String... segments) {","static void assertFileDoesNotExist(File rootFile, String... segments) {","public static void assertDirDoesNotExist(File rootDir, String... segments) {"
"409","15569.txt","public void awaitHostController(long start) throws InterruptedException, TimeoutException {","private void awaitHostController(long start) throws InterruptedException, TimeoutException {","public void awaitServers(long start) throws InterruptedException, TimeoutException {"
"410","15604.txt","public static final int INSTALL_EE_COMPONENT = 0x0E00;","public static final int INSTALL_BEAN_CONTAINER                      = 0x0E00;","public static final int INSTALL_MC_BEAN_DEPLOYMENT                  = 0x0900;"
"411","15778.txt","assertThat(sw.getTotalTimeMillis(), lessThan(350L));","assertThat(sw.getTotalTimeMillis(), lessThan(250L));","assertThat(sw.getTotalTimeMillis(), lessThan(250L));"
"412","15780.txt","<T> ResponseEntity<T> postForEntity(String url, Object request, Class<T> responseType, Map<String, ?> uriVariables)","<T> HttpEntity<T> postForEntity(String url, Object request, Class<T> responseType, Map<String, ?> uriVariables)","<T> ResponseEntity<T> postForEntity(String url, Object request, Class<T> responseType, Object... uriVariables)"
"413","15784.txt","return classIntrospectorInjectedValue.getValue().createInstance(instance);","return null;","return classIntrospectorInjectedValue.getValue().createFactory(componentClass);"
"414","1581.txt","if (this.accept(key)) {","if (key instanceof String) {","if (this.alwaysSerialize) {"
"415","15830.txt","}, OperationContext.Stage.RUNTIME, true);","}, OperationContext.Stage.IMMEDIATE);","}, OperationContext.Stage.RUNTIME);"
"416","15833.txt","if(tuple.isTick()) {","if(tuple.getSourceStreamId().equals(Constants.SYSTEM_TICK_STREAM_ID)) {","if(ct.equals(CoordType.single())) {"
"417","15844.txt","if (this.accept(key)) {","if (key instanceof String) {","if (this.alwaysSerialize) {"
"418","15848.txt","bd.addConfigurations(m);","scd.addConfigurations(m);","scd.addConfigurations(m);"
"419","15891.txt","localContextName = fieldInfo.declaringClass().name().toString() + ""/"" + fieldName;","localContextName = fieldName;","localContextName = methodInfo.declaringClass().name().toString() + ""/"" + contextNameSuffix;"
"420","15893.txt","n = n | 1;//make sure n is odd","n = n | 1;//make sur n is odd","n += 2; // n % 3 == 1"
