"","File","Query","SolutionStr","MySolutionStr"
"290","2564.txt","sb.append(expire);","sb.append(refresh);","sb.append(serial);"
"291","2565.txt","ToolItem[] toolItems = toolbar.getItems();","ToolItem[] toolItems = perspectiveBar.getControl().getItems();","ToolItem toolItem = toolBar.getItem(toolBar.toControl(pt));"
"292","2575.txt","String pluginId = ext.getNamespace();","String pluginId = ext.getDeclaringPluginDescriptor().getUniqueIdentifier();","String pluginId = (String)iter.next();"
"293","2599.txt","public static String PL_MENU_CONTRIBUTION = ""menuContribution""; //$NON-NLS-1$","public static String PL_MENU_ADDITION = ""menuAddition""; //$NON-NLS-1$","public static String TAG_DYNAMIC_CONTRIBUTION = ""dynamicContribution""; //$NON-NLS-1$"
"294","2633.txt","return item.get(columns[column]);","return item;","return rows.count();"
"295","2639.txt","if ((wasACase || wasAStatement) && this.preferences.indent_switchstatements_compare_to_cases) {","if (wasACase && this.preferences.indent_switchstatements_compare_to_cases) {","if ((wasACase && this.preferences.indent_switchstatements_compare_to_cases)"
"296","2654.txt","messageSend.receiver == ThisReference.ThisImplicit);","false);","messageSend,"
"297","2655.txt","throw new IllegalArgumentException(""Invalid rule: "" + symbol);","return null;","return ((symbol != null) && (rules.contains(symbol.toLowerCase())));"
"298","2657.txt","if (fExists && this.isActivated()) {","if (fExists) {","if (fExists) {"
"299","2663.txt","toStringName(buffer);","buffer.append(getElementName());","return info.getModifiers();"
"300","267.txt","visitor.visit(this);","boolean visitChildren = visitor.visit(this);","visitor.endVisit(this);"
"301","2670.txt","store.setDefault(IPreferenceConstants.RUN_IN_BACKGROUND,false);","store.setDefault(IPreferenceConstants.SHOW_USER_JOBS_IN_DIALOG,true);","store.setDefault(IPreferenceConstants.REUSE_EDITORS_BOOLEAN, false);"
"302","2677.txt","names.remove();","types.remove(typeName);","reader.close();"
"303","2696.txt","} //}}}","}","}"
"304","2706.txt","protected class ItemsListSeparator {","private class ItemsListSeparator {","protected abstract class ItemsFilter {"
"305","271.txt","for (int i = 0, max = path.segmentCount() - 1; i < max; i++) {","loop: for (int i = 0, max = path.segmentCount() - 1; i < max; i++) {","for (int i = 0, max = files.length; i < max; i++) {"
"306","2718.txt","dbs.writeShort(keyTag);","dbs.writeByte(keyTag);","dbs.writeShort(certType);"
"307","2722.txt","super(""ProcessException"" + ex);","super(""ProcessException"", ex);","super(""ProcessException"" + s);"
"308","2733.txt","if (contents == null) return null;","if (contents == null) throw new JavaModelException(new JavaModelStatus(IJavaModelStatusConstants.CANNOT_RETRIEVE_ATTACHED_JAVADOC, this));","if (!(o instanceof BinaryField)) return false;"
"309","2737.txt","return this.options.getSeverity(CompilerOptions.InexactVarargsArgument);","return Warning; // TODO (philippe) need this to default to a warning this.options.getSeverity(CompilerOptions.InexactParameterToVarargs);","return this.options.getSeverity(CompilerOptions.UnusedArgument);"
"310","276.txt","if( name.equals( ""org.apache.tomcat.protection_domain"") ) {","if( name.equals( Constants.ATTRIB_JSP_ProtectionDomain) ) {","if(name.equals(""org.apache.tomcat.classloader"")) {"
"311","2760.txt","sb.append(expire);","sb.append(refresh);","sb.append(serial);"
"312","2763.txt","null, null, ""menu_edit_redo_tooltip""));","null, null, ""menu_edit_redo""));","null, null, ""menu_edit_redo""));"
"313","2782.txt","import org.apache.tomcat.util.io.FileUtil;","import org.apache.tomcat.util.*;","import org.apache.tomcat.util.log.*;"
"314","2804.txt","this(Header.randomID());","this(-1);","this(new DataByteInputStream(b));"
"315","2810.txt","remember(suppliedTypes[i], binaryBindings[i]);","remember((IBinaryType) suppliedTypes[i], binaryBindings[i]);","remember(suppliedType, typeBinding);"
"316","283.txt","((CodeSnippetCodeStream)codeStream).generateObjectWrapperForType(binding.parameters[i]);","codeStream.generateObjectWrapperForType(binding.parameters[i]);","((CodeSnippetCodeStream) codeStream).generateEmulationForConstructor(currentScope, binding);"
"317","2830.txt","protected Name target;","private Name target;","protected"
"318","2832.txt","columbaHeader.set(""columba.uid"", """");","columbaHeader.set(""columba.uid"", new String(""""));","columbaHeader.set(""columba.uid"", o);"
"319","2842.txt","markEnclosingMemberWithLocalType(); // TODO (olivier) do we really need this?","markEnclosingMemberWithLocalType();","markEnclosingMemberWithLocalType();"
"320","2846.txt","if ((flowContext.tagBits & FlowContext.HIDE_NULL_COMPARISON_WARNING) != 0) {","if (flowContext.hideNullComparisonWarnings) {","if (((this.left.implicitConversion & IMPLICIT_CONVERSION_MASK) >> 4) == T_int) {"
"321","286.txt","if (contents == null) return null;","if (contents == null) throw new JavaModelException(new JavaModelStatus(IJavaModelStatusConstants.CANNOT_RETRIEVE_ATTACHED_JAVADOC, this));","if (enclosingType == null) return null; // play it safe"
"322","2868.txt","if (contents == null) return null;","if (contents == null) throw new JavaModelException(new JavaModelStatus(IJavaModelStatusConstants.CANNOT_RETRIEVE_ATTACHED_JAVADOC, this));","if (indexOfOpeningParen == -1) return null;"
"323","2870.txt","this.scribe.printNextToken(TerminalTokens.TokenNameIdentifier, false);","this.scribe.printNextToken(TerminalTokens.TokenNameIdentifier, true);","this.scribe.printNextToken(TerminalTokens.TokenNameIdentifier);"
"324","2885.txt","null, null, ""menu_edit_cut_tooltip""));","null, null, ""menu_edit_cut""));","null, null, ""menu_edit_cut""));"
"325","2891.txt","return containerPath;","return containerPath.segment(0);","return containerPath.segment(1);"
"326","2911.txt","return """"/*nonNLS*/;","return """"; //$NON-NLS-1$","return null;"
"327","2912.txt","DockPositionCellRenderer.this.setRequestFocusEnabled(false);","setRequestFocusEnabled(false);","DockPositionCellRenderer comboBox = new DockPositionCellRenderer();"
"328","2920.txt","BaseInterceptor reqI[]= req.getContext().getContainer().","BaseInterceptor reqI[]= req.getContainer().","BaseInterceptor reqI[]= req.getContainer()."
"329","2923.txt","return format(FormatManager.XEMACS);","return format(FormatManager.NATIVE);","return format(FormatManager.FORMAL);"
"330","2953.txt","public void close() {","public void close() throws JavaModelException {","public void enterCompilationUnit() {"
"331","2961.txt","if ( accountItem.isDefault() ) {","if (i == 0) {","if (e.getStateChange() == ItemEvent.SELECTED) {"
"332","2965.txt","return this.resolvedType;","return null;","return fieldRef.binding;"
"333","2980.txt","wizard.pack();","wizard.setSize(700, 500);","wizard.setVisible(true);"
"334","2990.txt","tBarMgr.addGroupMarker(IWorkbenchActionConstants.SAVE_GROUP, id);","tBarMgr.addGroup(IWorkbenchActionConstants.SAVE_GROUP, id);","tBarMgr.addGroupMarker(IWorkbenchActionConstants.SAVE_EXT, id);"
"335","3003.txt","Transform.escapeTags(locationInfo.getClassName(), output);","output.write(locationInfo.getClassName());","Transform.escapeTags(locationInfo.getMethodName(), output);"
"336","3004.txt","scope.problemReporter().methodNeedBody(this);","scope.problemReporter().methodNeedingAbstractModifier(this);","scope.problemReporter().methodNeedingNoBody(this);"
"337","3021.txt","subRoutineStartLabel.initialize(codeStream);","subRoutineStartLabel.codeStream = codeStream;","subRoutineStartLabel.place();"
"338","3022.txt","Util.verbose(""-> waiting end of current background job - "" + currentJob); //$NON-NLS-1$","Util.verbose(""-> waiting end of current background job - "" + currentJob); //$NON-NLS-1$ //$NON-NLS-2$","Util.verbose(""-> discarding background job  - "" + currentJob); //$NON-NLS-1$"
"339","3025.txt","case TerminalTokens.TokenNameGREATER:","case TerminalTokens.TokenNameGREATER://110","case TerminalTokens.TokenNameAT :"
"340","3034.txt","this.endPosition = this.rParenPos;","this.endPosition = this.scanner.startPosition - 1;","this.endPosition = this.scanner.startPosition;"
"341","3040.txt","index.reset();","index.reset(false/*do not reuse index file*/);","index.save();"
"342","3063.txt","public char[][] getIndexCategories() {","public char[][] getMatchCategories() {","public char[] getIndexKey() {"
"343","3072.txt","setVisibleEditor(ref, false);","setVisibleEditor(ref, true);","setVisibleEditor(ref, true);"
"344","3076.txt","str = """";","str = new String();","this.b = b;"
"345","3077.txt","return """"/*nonNLS*/;","return """"; //$NON-NLS-1$","return null;"
"346","3089.txt","//ColumbaLogger.createDefaultHandler();","ColumbaLogger.createDefaultHandler();","ColumbaLogger.createDefaultHandler();"
"347","3095.txt","static class ResolvedClasspath {","class ResolvedClasspath {","classpath = getResolvedClasspath();"
"348","3102.txt","if (resource.getName().equalsIgnoreCase(""CVS"")) return false; // TEMPORARY //$NON-NLS-1$","if (resource.getName().equalsIgnoreCase(""CVS"")) return false; // TEMPORARY","if (resource.getFullPath().equals(sourcePath)) return true;"
"349","3124.txt","return info.initializationSource;","return convertConstant(info.getConstant());","return info.getTypeSignature();"
"350","3158.txt","if(path.startsWith(dir))","if(path.startsWith(dirset.getDirectory()))","if(path.startsWith(""macros""))"
"351","3165.txt","LogManager.getLoggerRepository().getPluginRegistry().startPlugin(receiver);","PluginRegistry.startPlugin(receiver);","LogManager.getRootLogger().addAppender(handler);"
"352","3166.txt","this.elements[this.size++] = newElement;","this.elements[size++] = newElement;","this.elements[this.size] = null;"
"353","3173.txt","""org.columba.core.interpreter"");","""interpreter"");","className.toString().length() - 3);"
"354","3196.txt","methodDeclaration.modifiers | ClassFileConstants.AccSynthetic, //methodDeclaration","methodDeclaration.modifiers, //methodDeclaration","methodDeclaration.modifiers = methodBinding.getAccessFlags() & ~ClassFileConstants.AccAbstract;"
"355","3198.txt","new File(configDirectory, ""options.xml"");","new File(configDirectory, ""mainframeoptions.xml"");","new File(configDirectory, ""popmanageoptions.xml"");"
"356","3215.txt","UmlFactory.getFactory().getCore().removeClassifier(cls);","MMUtil.SINGLETON.remove(cls);","MOperation oper = UmlFactory.getFactory().getCore().buildOperation(classifier);"
"357","3229.txt","buffer.append(""\n"");//$NON-NLS-1$","buffer.append(""\n"");","buffer.append(""\n""); //$NON-NLS-1$"
"358","3259.txt","attributes.put(""columba.host"", """");","attributes.put(""columba.host"", new String());","attributes.put(""columba.subject"", """");"
"359","3273.txt","context.addFailedAssumption(e);","context.addIgnorance(e);","context.addFailure(e);"
"360","3279.txt","""\nContributing Developers:\n""+","""\nSpecial Thanks To:\n""+","""\nDevelopers and Testers:  \n""+"
"361","3281.txt","this.bound = env.convertToRawType(resolvedType);","this.bound = resolvedType.isGenericType() ? env.createRawType(resolvedType, resolvedType.enclosingType()) : resolvedType;","this.bound = someBound;"
"362","3282.txt","buf.append(event.getRenderedMessage());","buf.append(event.message);","buf.append(event.getThreadName());"
"363","3311.txt","return Modifier.NONE;","return 0;","return IModifierConstants.ACC_FINAL;"
"364","3312.txt","return folder.getTabFolder().getControl().getFont();","return null;","return folder.getPartList();"
"365","3316.txt","buffer.append(this.problemCount).append("" PROBLEM(s) detected \n""); //$NON-NLS-1$","buffer.append(this.problemCount).append("" PROBLEM(s) detected \n""); //$NON-NLS-1$//$NON-NLS-2$","buffer.append(""No PROBLEM\n""); //$NON-NLS-1$"
"366","3343.txt","InputStream in = context.getResourceAsStream(file.toString());","InputStream in = new FileInputStream(fileName);","String fileName = context.getRealPath(file.toString());"
"367","3353.txt","if (length == 0 || start > end)","if (length == 0)","if (length1 == 0)"
"368","337.txt","l10n.get(""RoleRequestGranted""));","l10n.get(""Your role request was granted.""));","l10n.get(""RoleRequestAwaiting""));"
"369","338.txt","node.getType().accept(this);","node.getName().accept(this);","node.getTypeName().accept(this);"
"370","3386.txt","((ProblemFieldBinding)binding).closestMatch,","(FieldBinding)binding,","(FieldBinding) binding,"
"371","3392.txt","if ((erasure.modifiers & AccInterface) == 0) {","if (erasure.isClass()) {","if (itsInterfaces != NoSuperInterfaces) {"
"372","3407.txt","setActivePage(0);","getTabFolder().setSelection(0);","setFocus(getActivePage());"
"373","3422.txt","return Modifier.NONE;","return 0;","return NO_NAME;"
"374","3430.txt","protected ColumbaHeader getMessageHeader(Object uid) throws Exception {","public ColumbaHeader getMessageHeader(Object uid) throws Exception {","protected ColumbaMessage getMessage(Object uid) throws Exception {"
"375","3453.txt","} else { // Check requested but no SSL session ID, scream about it!","} else { // Check requested by no SSL session ID, scream about it!","// SSL session ID from session and request - they have to be equal!"
"376","3462.txt","} //}}}","}","}"
"377","3463.txt","// fall thru to create the variable - avoids additional errors because the variable is missing","return null;","this.binding = new LocalVariableBinding(this, exceptionType, modifiers, false); // argument decl, but local var  (where isArgument = false)"
"378","3508.txt","Collection result = new HashSet();","Collection result = new ArrayList();","Collection result = new ArrayList();"
"379","3525.txt","if (!JavaProject.hasJavaNature(prereqProject)) continue nextEntry; // if project doesn't have java nature or is not accessible","if (!prereqProject.isAccessible()) continue nextEntry;","bLocation = ClasspathLocation.forBinaryFolder((IContainer) target, false); // is library folder not output folder"
"380","3535.txt","socketFactory =","ServerSocketFactory socketFactory =","socketFactory = string2SocketFactory(socketFactoryName);"
"381","3543.txt","argument.sourceStart,","argument.type.sourceStart,","assignment.sourceStart,"
"382","3545.txt","public static RGB getColorValue(String rawValue) {","public static RGB getColorValue(String rawValue) throws DataFormatException {","public static RGB[] getColorValues(String[] rawValues) {"
"383","3558.txt","throw new UnsupportedOperationException(""Operation only supported in 2.0 AST""); //$NON-NLS-1$","throw new UnsupportedOperationException(""Operation not supported in 2.0 AST""); //$NON-NLS-1$","throw new UnsupportedOperationException(""Operation not supported in 2.0 AST""); //$NON-NLS-1$"
"384","3560.txt","c.open(new URL(""http://columba.sourceforge.net/phpBB2/viewforum.php?f=15""));","c.open(new URL(""http://www.sourceforge.net/projects/columba/bugs""));","URLController c = new URLController();"
"385","3569.txt","public long","public int","public Token"
"386","3582.txt","for (int i = 0, l = requiredProjects.length; i < l; i++) {","next : for (int i = 0, l = requiredProjects.length; i < l; i++) {","for (int i = 0, l = entries.length; i < l; i++) {"
"387","3590.txt","import org.apache.tomcat.util.io.FileUtil;","import org.apache.tomcat.util.*;","import org.apache.tomcat.util.log.*;"
"388","360.txt","addItem(new ColorItem(Color.black, ""None""));","addItem(new ColorItem(Color.black, ""Black""));","addItem(new ColorItem(Color.black, ""Custom""));"
"389","3611.txt","super.digesterPush(text);","super.body(text);","super(digester, state);"
"390","3623.txt","throw new SelectionNodeFound(binding);","throw new SelectionNodeFound(this, binding);","throw new SelectionNodeFound();"
"391","3625.txt","throw new JavaModelException(e, IJavaModelStatusConstants.ELEMENT_DOES_NOT_EXIST);","throw new JavaModelException(e);","throw new JavaModelException(e, IJavaModelStatusConstants.IO_EXCEPTION);"
"392","363.txt","} else if (this.namePos > nameFragmentStart) // handle name starting with a $ (see https://bugs.eclipse.org/bugs/show_bug.cgi?id=91709)","} else","} else"
"393","3632.txt","org.columba.addressbook.facade.IModelFacade.class,","org.columba.addressbook.facade.IDialogFacade.class,","org.columba.addressbook.facade.IFolderFacade.class,"
"394","3671.txt","if (counts[field] == 0)","if (counts[field] == 0xFF)","if (counts[field] == 0xFF)"
"395","3693.txt","rec.cert = st.getBase64();","rec.cert = base64.fromString(remainingStrings(st));","rec.certType = st.getUInt16();"
"396","3696.txt","throw new SelectionNodeFound(binding);","throw new SelectionNodeFound(this, binding);","throw new SelectionNodeFound();"
"397","371.txt","page.reuseEditor((IReusableEditor) reusableEditor,input);","((IReusableEditor) reusableEditor).setInput(input);","page.closeEditor(reusableEditorRef,false);"
"398","3716.txt","if (PlatformUI.isWorkbenchRunning() && refreshJob.setMessage(getDisplayString()))","if (refreshJob.setMessage(getDisplayString()))","if(PlatformUI.isWorkbenchRunning())"
"399","3719.txt","return """"/*nonNLS*/;","return """"; //$NON-NLS-1$","return extension;"
"400","3737.txt","return _target != null && _target instanceof ToDoItem;","return _target != null;","return target instanceof ToDoItem;"
"401","3745.txt","WorkbenchPage.MATCH_NONE);","false);","IWorkbenchPage page = window.getActivePage();"
"402","3752.txt","if (!flags.getExpunged())","if (!flags.getDeleted())","if (!flags.getFlagged())"
"403","3785.txt","return DECLINED;","return 0;","return 0;"
"404","3786.txt","return activeDesktop.openAndWait(file);","return activeDesktop.open(file);","return activeDesktop.open(file);"
"405","3793.txt","navigationHistory.markEditor(editor);","navigationHistory.markLocation(editor);","navigationHistory.markEditor(part);"
"406","380.txt","this.annotationProcessorManager.processAnnotations(null, null, true);","this.annotationProcessorManager.processAnnotations(unitsToProcess, this.binaryTypeBindings, true);","this.annotationProcessorManager.reset();"
"407","3816.txt","id = IProblem.NonStaticTypeFromStaticInvocation;","id = IProblem.TypeVariableReferenceFromStaticContext;","id = IProblem.NonStaticFieldFromStaticInvocation;"
"408","3820.txt","public static final String IMAPSERVER = ""imapserver"";","public static final String SMTPSERVER = ""smtpserver"";","public static final String POPSERVER = ""popserver"";"
"409","3823.txt","textLineStart = Util.getLineNumber(this.scanner.currentPosition-1, this.lineEnds, textLineStart, this.maxLines);","textLineStart++;","scannerLine = Util.getLineNumber(this.scanner.currentPosition, this.lineEnds, scannerLine>1 ? scannerLine-2 : 0, this.maxLines);"
"410","3831.txt","if (guessedType == null || !guessedType.isValidBinding()) return;","if (!guessedType.isValidBinding()) return;","if (type == null || !type.isValidBinding()) return;"
"411","3837.txt","showStatus(_statusText + ""... not implemented yet ..."");","showStatus(_statusText + ""..."");","showStatus(_statusText + ""... done."");"
"412","384.txt","messageList.put(newUid, new ColumbaMessage(h, message));","messageList.put(newUid, message);","messageList.put(newUid, message);"
"413","386.txt","if (foundType != null && foundType.problemId() != NotVisible && binding.problemId() != Ambiguous)","if (foundType != null && binding.problemId() != Ambiguous)","if (foundType != null && foundType.problemId() != NotVisible)"
"414","3873.txt","if (!destFile.isReadOnly() && newContent != null){","if (newContent != null){","if (element.isReadOnly() && (isRename() || isMove()))"
"415","3874.txt","listener.testIgnored(someTest);","listener.testAssumptionInvalid(someTest, null);","listener.testStarted(someTest);"
"416","3884.txt","public void run() {","public synchronized void run() {","public void shutdown() {"
"417","3899.txt","visitor.visit(this);","boolean visitChildren = visitor.visit(this);","visitor.endVisit(this);"
"418","391.txt","void printIndentationIfNecessary() {","private void printIndentationIfNecessary() {","printIndentationIfNecessary();"
"419","3925.txt","import org.columba.addressbook.model.IBasicModelPartial;","import org.columba.addressbook.model.IHeaderItemPartial;","import org.columba.addressbook.model.IContactModelPartial;"
"420","3931.txt","for (int idx=0, ln = source.length; idx < ln; idx++) {","scanUniqueKey: for (int idx=0, ln = source.length; idx < ln; idx++) {","for (int i = 0; i < stringLength; i ++) {"
"421","394.txt","""readOnly""}, //$NON-NLS-1$ //TODO: (philippe) improve once IMarker constant is added","""readOnly""}, //$NON-NLS-1$ //TODO: improve once IMarker constant is added","}"
"422","3956.txt","else if(name.equals(VFS.EA_SIZE))","else if(getName().equals(VFS.EA_SIZE))","else if(name.equals(VFS.EA_STATUS))"
"423","3963.txt","navigationHistory.markEditor((IEditorPart)activePart);","navigationHistory.markEditor(getActiveEditor());","navigationHistory.markEditor(getActiveEditor());"
"424","398.txt","escapeMementoName(buff, this.parameterTypes[i]);","buff.append(this.parameterTypes[i]);","escapeMementoName(buff, getElementName());"
"425","3992.txt",".append(Util.bind(""disassembler.closeconstantstring"")); //$NON-NLS-1$",".append(Util.bind(""disassembler.closeconstant"")); //$NON-NLS-1$",".append(Util.bind(""disassembler.closeconstant"")); //$NON-NLS-1$"
"426","4008.txt","return WorkbenchHelpSystem.getInstance().createHelpListener(command);","return PlatformUI.getWorkbench().getHelpSystem().createHelpListener(command);","return WorkbenchHelpSystem.getInstance().getHelpSupport();"
"427","4017.txt","result = flags.get(Flags.DELETED);","result = flags.get(Flags.EXPUNGED);","result = flags.get(Flags.RECENT);"
"428","4042.txt","ViewFactory.extractPrimaryId(viewId));","viewId);","ViewFactory viewFactory) {"
"429","4047.txt","private class ItemsListSeparator {","protected class ItemsListSeparator {","private List lastSortedItems;"
"430","4050.txt","request.getContext().log( exceptionString(e));","e.printStackTrace();","response.setContentLength(body.length());"
"431","4085.txt","} else if (directoriesToCheck[i].isFile()) {","} else {","} else if (f.isDirectory()) {"
"432","4105.txt","if ((methodBinding.tagBits & TagBits.ClearPrivateModifier) != 0) {","if (methodBinding.isConstructor() && (methodBinding.tagBits & TagBits.ClearPrivateModifier) != 0) {","if ((methodBinding.tagBits & TagBits.HasMissingType) != 0) {"
"433","4107.txt","if (!Util.isJavaLikeFileName(resName)) {","if (!resName.toLowerCase().endsWith(SUFFIX_STRING_java)) {","if (this.isDefaultPackage()) {"
"434","4115.txt","WorkbenchPreferencePage.createLabel(groupComposite, label);","Label configLabel = WorkbenchPreferencePage.createLabel(groupComposite, label);","WorkbenchPreferencePage.createSpace(composite);"
"435","4127.txt","importReference.tokens,","CharOperation.concatWith(importReference.getImportName(), '.'),","importReference.onDemand,"
"436","4144.txt","SearchDialog.showSearchDialog(view,null,SearchDialog.CURRENT_BUFFER);","new SearchDialog(view,null);","else"
"437","4147.txt","new PropertyDescriptor(""tailing"", LogFilePatternReceiver.class),","new PropertyDescriptor(""looping"", LogFilePatternReceiver.class),","new PropertyDescriptor(""logFormat"", LogFilePatternReceiver.class),"
"438","4148.txt","WorkbenchPlugin.log(""Reference item "" + id + "" not found for action "" + item.getId()); //$NON-NLS-1$ //$NON-NLS-2$","WorkbenchPlugin.log(""Reference item "" + id + "" not found for action "" + item.getId()); //$NON-NLS-1$","are made available under the terms of the Common Public License v1.0"
"439","4149.txt","new Pattern(""configuration/jndiSubstitutionProperty""),","new Pattern(""log4j:configuration/jndiSubstitutionProperty""),","new Pattern(""configuration/substitutionProperty""),"
"440","416.txt","return OK;","return DECLINED;","return 0;"
"441","4164.txt","new ISourceType[]{sourceType},","sourceType,","superTypeNames[nestedTypeIndex-1],"
"442","4166.txt","if (lastDot != topLevelTypeName.length() || !topLevelTypeName.regionMatches(0, cuName, 0, lastDot))","if (!topLevelTypeName.equals(cuName.substring(0, lastDot)))","if (seekTypesInWorkingCopies(matchName, pkg, firstDot, partialMatch, topLevelTypeName, acceptFlags, requestor))"
"443","4168.txt","return getKey(this, true/*with access flags*/, false/*don't open*/);","return getKey(this, org.eclipse.jdt.internal.compiler.lookup.Binding.USE_ACCESS_FLAGS_IN_BINDING_KEY/*with access flags*/, false/*don't open*/);","return"
"444","4172.txt","this.wait(); // wait until a new job is posted (or reenabled:38901)","this.wait(); // wait until a new job is posted","this.notifyAll(); // ensure its awake so it can be shutdown"
"445","4173.txt","sourceTypes,//sourceTypes[0] is always toplevel here","sourceTypes,","true, // need member types"
"446","418.txt","this.insert_space_before_closing_brace_in_array_initializer = true;","this.insert_space_before_closing_brace_in_array_initializer = false;","this.insert_space_before_closing_brace_in_array_initializer = false;"
"447","4185.txt","shortSignature.toString(),","new String(shortSignature.toString()),","shortSignature"
"448","4195.txt","public StatusLineManager getStatusLineManager() {","protected StatusLineManager getStatusLineManager() {","public MenuManager getMenuManager() {"
"449","4197.txt","traversedContext.recordReturnFrom(flowInfo.unconditionalInits());//TODO: (philippe) not only if distinct from target?","traversedContext.recordReturnFrom(flowInfo.unconditionalInits());","flowInfo.addInitializationsFrom(tryStatement.subRoutineInits); // collect inits"
"450","4212.txt","public static final int OnlyValueRequiredMASK = Bit6; // TODO: (philippe) should get rid of 'OnlyValueRequiredMASK' in boolean codegen","public static final int OnlyValueRequiredMASK = Bit6; // TODO: (philippe) should get rid of in boolean codegen","public static final int ValueForReturnMASK = Bit5;"
"451","4222.txt","Log.debug(currentQuery);","System.out.println(currentQuery);","return currentQuery;"
"452","4223.txt","if (!erasure.isInterface()) {","if ((erasure.modifiers & AccInterface) == 0) {","if (erasureIsClass) {"
"453","4247.txt","jar.closeZipFile();","jar.getClassLoader().closeZipFile();","in.close();"
"454","4259.txt","rec.signature = st.getBase64();","rec.signature = base64.fromString(remainingStrings(st));","this.signature = signature;"
"455","4270.txt","s+= object.toString()+ ""\t#""+object.hashCode() +""(%"" + (object.hashCode() % elementTable.length)+""\n"";//$NON-NLS-1$//$NON-NLS-2$ //$NON-NLS-3$","s+= object.toString()+ ""\t#""+object.hashCode() +""(%"" + (object.hashCode() % elementTable.length)+""\n"";//$NON-NLS-1$//$NON-NLS-2$","this.elementTable = newSet.elementTable;"
"456","4275.txt","return false;","return true;","return true;"
"457","4287.txt","JavaModelManager.getJavaModelManager().putInfo(this, info);","fgJavaModelManager.putInfo(fgJavaModelManager.getJavaModel(), info);","JavaModelManager manager = this.getJavaModelManager();"
"458","4299.txt","if (deltaBuilder.delta != null) {","if ((deltaBuilder.delta != null) && (deltaBuilder.delta.getAffectedChildren().length > 0)) {","if (deltaBuilder != null) {"
"459","4358.txt","return this.segments[this.currentSegment];","return encodeIndexKey(this.segments[this.currentSegment], getMatchMode());","this.currentSegment = this.segments.length - 1;"
"460","4367.txt","toStringName(buffer);","buffer.append(this.getElementName());","buff.append(this.nameStart);"
"461","4387.txt","MParameter rp = MMUtil.SINGLETON.buildParameter();","MParameter rp = new MParameterImpl();","MParameter rp = MMUtil.SINGLETON.getReturnParameter(op);"
"462","4394.txt","int declarationStart; // TODO : (olivier) is it intentionally hiding the other field ?","int declarationStart; // TODO (olivier) is it intentionally hiding the other field ?","SortInitializer initializer = new SortInitializer(declarationStart, modifiers);"
"463","4405.txt","addAnnotationTypeDeclaration(reader.getModifiers(), packageName, name, enclosingTypeNames);","// TODO need support","addEnumDeclaration(reader.getModifiers(), packageName, name, enclosingTypeNames, superinterfaces);"
"464","4429.txt","public String getRawString() {","public Object getRawString() {","public String getPath() {"
"465","443.txt","if (this.useCount == 0) { // was destroyed","if (this.useCount == 0) {","if (this.useCount == 0) {"
"466","4432.txt","qualifiedType = scope.environment().createParameterizedType((ReferenceBinding)currentType.erasure(), null, qualifiedType);","qualifiedType = scope.createParameterizedType((ReferenceBinding)currentType.erasure(), null, qualifiedType);","qualifiedType = scope.environment().createRawType((ReferenceBinding)currentType.erasure(), qualifiedType);"
"467","444.txt","return """"; //$NON-NLS-1$","return """"/*nonNLS*/;","return i;"
"468","4441.txt","if (""jar"".equalsIgnoreCase(ext) || ""zip"".equalsIgnoreCase(ext)) {//$NON-NLS-1$ //$NON-NLS-2$","if (""jar"".equalsIgnoreCase(ext) || ""zip"".equalsIgnoreCase(ext)) {","if (ext.equalsIgnoreCase(""zip"") || ext.equalsIgnoreCase(""jar"")) { //$NON-NLS-1$ //$NON-NLS-2$"
"469","4459.txt","codeSnippet,","CharOperation.concat(codeSnippet, Util.LINE_SEPARATOR_CHARS), // 14838","environment,"
"470","446.txt","public void test5() {","public void disabled_test5() {","public void test15() {"
"471","4461.txt","public final void setState( int state ) {","final void setState( int state ) {","public final int getState() {"
"472","4468.txt","public static Object getAssignableForm( Object rhs, Class lhsType )","static Object getAssignableForm(Object rhs, Class lhsType)","public static Object checkAssignableFrom(Object rhs, Class lhsType)"
"473","447.txt","factoryID = IWorkbenchConstants.DEFAULT_PRESENTATION_ID;","factoryID = ""org.eclipse.ui.presentations.default""; //$NON-NLS-1$","IWorkbenchPreferenceConstants.PRESENTATION_FACTORY_ID);"
"474","4478.txt","public void removeMessage(Object uid) throws Exception {","protected void removeMessage(Object uid) throws Exception {","public boolean exists(Object uid) throws Exception {"
"475","4485.txt","modeContributionItem.setText(""carbon"".equals(SWT.getPlatform()) ? KeySupport.formatCarbon(KeySequence.getInstance()) : KeySequence.getInstance().format());","modeContributionItem.setText(""carbon"".equals(SWT.getPlatform()) ? KeySupport.formatCarbon(modeAfterKeyStroke) : modeAfterKeyStroke.format());","modeContributionItem.setText(""carbon"".equals(SWT.getPlatform()) ? KeySupport.formatCarbon(modeAfterKeyStroke) : modeAfterKeyStroke.format());"
"476","4495.txt","scope.problemReporter().needImplementation(); //TODO: (philippe) should improve local emulation failure reporting","scope.problemReporter().needImplementation(); //TODO: should improve","scope.problemReporter().noSuchEnclosingInstance((ReferenceBinding)target, invocationSite, true);"
"477","450.txt","return new String[] {};","return null;","return stringList;"
