"","File","Query","SolutionStr","MySolutionStr"
"194","2556.txt","if (traceDirectory != null)","if (!PrivilegedFileOps.exists(traceDirectory))","if (comBufferWriter != null)"
"195","2560.txt","if (!se.isLockTimeout())","if (!se.getMessageId().equals(SQLState.LOCK_TIMEOUT))","if (savePoints.size() > 20)"
"196","2562.txt","else if (se.isLockTimeout())","else if (SQLState.LOCK_TIMEOUT.equals(se.getMessageId()))","else"
"197","2570.txt","super(PER_FIELD_REUSE_STRATEGY);","super(new PerFieldReuseStrategy());","super(input);"
"198","2571.txt","super(PER_FIELD_REUSE_STRATEGY);","super(new PerFieldReuseStrategy());","super(input);"
"199","2639.txt","CompactionManager.instance.submitMajor(cfStore).get();","cfStore.doCompaction(2, cfStore.getSSTables().size());","table.getColumnFamilyStore(""Standard2"").forceBlockingFlush();"
"200","2651.txt","if (jvmflags != null && jvmflags.length() > 0)","if (jvmflags != null)","if ((jvmflags != null) && (jvmflags.length() > 0))"
"201","2652.txt","innerCache.put(key, value);","innerCache.put(reader, value);","innerCache.put(key, progress.value);"
"202","2658.txt","chars[i++] = (char) nextInt(random, 0x80, 0x7ff);","chars[i++] = (char) nextInt(random, 0x80, 0x800);","chars[i++] = (char) nextInt(random, 0x800, 0xd7ff);"
"203","2667.txt","}, ""PERIODIC-COMMIT-LOG-SYNCER"").start();","}).start();","}"
"204","2670.txt","stmt = conn.prepareStatement(getPreferenceTimeSQL, ResultSet.TYPE_FORWARD_ONLY, ResultSet.CONCUR_READ_ONLY);","stmt = conn.prepareStatement(getPreferenceSQL, ResultSet.TYPE_FORWARD_ONLY, ResultSet.CONCUR_READ_ONLY);","stmt = conn.prepareStatement(getPreferenceSQL, ResultSet.TYPE_FORWARD_ONLY, ResultSet.CONCUR_READ_ONLY);"
"205","2676.txt","this.minSimilarity = 0; // just driven by number of edits","this.minSimilarity = 1 - (minSimilarity+1) / this.termLength;","this.minSimilarity = minSimilarity;"
"206","2685.txt","if ( (rb.getFieldFlags() & SolrIndexSearcher.GET_SCORES)!=0 || rb.getSortSpec().includesScore()) {","if (rb.getSortSpec().includesScore()) {","if (!req.getParams().getBool(ShardParams.IS_SHARD,false) && rb.getResults().docList != null && rb.getResults().docList.size()<=50) {"
"207","2693.txt","return getValues(reader);","return null;","return getValues(null, reader);"
"208","2699.txt","private int hasProx = CHECK_FIELDINFO;     // True if this segment has any fields with positional information","private int hasProx = CHECK_FIELDINFO;     // True if this segment has any fields with omitTermFreqAndPositions==false","static final int WITHOUT_GEN = 0;  // a file name that has no GEN in it."
"209","2707.txt","if (!result.isDigestQuery())","if (result.isDigestQuery())","if (result.isDigestQuery())"
"210","2708.txt","// Not in Java 5: @Override","@Override","private final ExecutorService es;"
"211","272.txt","throws InvalidRequestException, UnavailableException","throws InvalidRequestException, NotFoundException, UnavailableException","throws InvalidRequestException, TException, UnavailableException"
"212","2721.txt","suite.addTest(InterruptResilienceTest.suite());","suite.addTest(Derby151Test.suite());","suite.addTest(BackupRestoreTest.suite());"
"213","2728.txt","} else if (indexReader != null) {","} else {","} else {"
"214","2735.txt","public final static String rangeVerbHandler_ = ""RANGE-VERB-HANDLER"";","public static String rangeVerbHandler_ = ""RANGE-VERB-HANDLER"";","public final static String readVerbHandler_ = ""ROW-READ-VERB-HANDLER"";"
"215","2739.txt","<li> {@link MultiPhraseQuery}","<li> {@link PhrasePrefixQuery}","<li> {@link MultiTermQuery}"
"216","2740.txt","termState.skipFP = 0;","termState.skipFP = termState.bytesReader.readVLong();","termState.skipFP = termState.bytesReader.readVLong();"
"217","2742.txt","random = true;","random = Boolean.parseBoolean(cmd.getOptionValue(""r""));","return out;"
"218","2780.txt","return Double.NaN;","return 0.0;","return Double.parseDouble(data);"
"219","2781.txt","String rawColumName = CliUtils.unescapeSQLString(statement.getChild(1).getText());","String rawColumName = statement.getChild(1).getText();","String value = CliUtils.unescapeSQLString(statement.getChild(1).getText());"
"220","2784.txt","Property.STORAGE_AUTO_INDEX_STATS_DEBUG_KEEP_DISPOSABLE_STATS);","Property.STORAGE_AUTO_INDEX_STATS_DEBUG_FORCE_OLD_BEHAVIOR);","Property.STORAGE_AUTO_INDEX_STATS_DEBUG_QUEUE_SIZE_DEFAULT);"
"221","2787.txt","connection_.CommitAndRollbackListeners_.add(this);","connection_.CommitAndRollbackListeners_.put(this,null);","connection_.CommitAndRollbackListeners_.remove(this);"
"222","2789.txt","connection_.CommitAndRollbackListeners_.add(this);","connection_.CommitAndRollbackListeners_.put(this,null);","connection_.CommitAndRollbackListeners_.remove(this);"
"223","2820.txt","return liveDocs.cardinality();","return (int) liveDocs.cardinality();","return liveDocs;"
"224","2822.txt","} else if (field.equals(""score"")) {","} if (field.equals(""score"")) {","} else if (field.equals(""noscore"")) {"
"225","2823.txt","{10, 3, 1, 4}, // 10.3.1.4 (Aug 1, 2007 / SVN 561794)","{10, 3, 1, 4}, // 10.3.1.4 (Aug 30, 2007 / SVN 571336)","{10, 1, 3, 1}, // 10.1.3.1 (Jun 30, 2006 / SVN 417277)"
"226","2826.txt","return true;","return false;","return false;"
"227","2850.txt","return termsIndex.getValueCount();","return termsIndex.numOrd();","return termsIndex.getOrd(doc);"
"228","287.txt","if ((rc != XAResource.XA_OK ) && (rc != XAResource.XA_RDONLY)) {","if (rc != XAResource.XA_OK) {","if (rc != XAResource.XA_OK)"
"229","2889.txt","StopFilter stpf = new StopFilter(TEST_VERSION_CURRENT, new MockTokenizer(new StringReader(""test of""), MockTokenizer.WHITESPACE, false), stopSet);","StopFilter stpf = new StopFilter(Version.LUCENE_40, new MockTokenizer(new StringReader(""test of""), MockTokenizer.WHITESPACE, false), stopSet);","StopFilter stpf0 = new StopFilter(TEST_VERSION_CURRENT, new MockTokenizer(reader, MockTokenizer.WHITESPACE, false), stopSet0); // first part of the set"
"230","2894.txt","NumericDocValues getNormValues(String field) throws IOException {","NumericDocValues getSimpleNormValues(String field) throws IOException {","NumericDocValues getNumericDocValues(String field) throws IOException {"
"231","2895.txt","return core.getNormValues(field);","return core.getSimpleNormValues(field);","return core.getNumericDocValues(field);"
"232","29.txt","skipRemainder(true);","skipRemainder(false);","skipRemainder(false);"
"233","290.txt","synonymTableName != null ? synonymTableName : targetTableName,","targetTableName,","synonymTableName = targetTableName;"
"234","2911.txt","this.subReaders =  subReaders;","this.subReaders =  subReaders.clone();","this.subReaders =  subReaders.clone();"
"235","2912.txt","IndexWriter writer = new IndexWriter(dir1, new IndexWriterConfig(TEST_VERSION_CURRENT, new WhitespaceAnalyzer(TEST_VERSION_CURRENT)).setReaderTermsIndexDivisor(2));","IndexWriter writer = new IndexWriter(dir1, new IndexWriterConfig(TEST_VERSION_CURRENT, new WhitespaceAnalyzer(TEST_VERSION_CURRENT)));","IndexWriter writer = new IndexWriter(dir1, new IndexWriterConfig(TEST_VERSION_CURRENT, new WhitespaceAnalyzer(TEST_VERSION_CURRENT)));"
"236","2921.txt","public int size() throws IOException {","public int getUniqueFieldCount() throws IOException {","public Fields fields() throws IOException {"
"237","2922.txt","public long size() throws IOException {","public long getUniqueTermCount() throws IOException {","public long getSumDocFreq() throws IOException {"
"238","2924.txt","public int size() throws IOException {","public int getUniqueFieldCount() throws IOException {","public String next() throws IOException {"
"239","2925.txt","public abstract long size() throws IOException;","public abstract long getUniqueTermCount() throws IOException;","public abstract long getSumDocFreq() throws IOException;"
"240","2926.txt","public long size() throws IOException {","public long getUniqueTermCount() throws IOException {","public long getSumDocFreq() throws IOException {"
"241","2933.txt","ntt.commit();","ntt.commitNoSync(Transaction.RELEASE_LOCKS);","ntt.close();"
"242","2942.txt","0),","false),","drillDownTerm.field(), drillDownTerm.bytes(),"
"243","2944.txt","0);","false);","});"
"244","2948.txt","0);","false);","for (int i = 0; i < map1.maxDoc(); ++i) {"
"245","2950.txt","0);","false);","for(int i=0;i<NUM_THREADS;i++)"
"246","2964.txt","0);","false);","tiq.pop(); // remove lowest in tiq"
"247","2972.txt","Throwable ex, Object preCallToken) throws Throwable {","Exception ex, Object preCallToken) throws Throwable {","Object returnType, Object preCallToken) throws Throwable {"
"248","2982.txt","t.interrupt();","if (!t.getName().equals(""main-EventThread"")) t.interrupt();","super.starting(method);"
"249","30.txt","public static String getNameFromJdbcType(int jdbcType) {","public static String jdbcNameFromJdbc(int jdbcType) {","public static String sqlNameFromJdbc(int jdbcType) {"
"250","3009.txt","for (int i = 0; i < q; i++) {","for (int i = 0; i < q; q--) {","for (int i = 0; i < m; i++) {"
"251","3025.txt","if (expectedRows >= 0)","if (rows >= 0)","if (expectedRow[i] != null)"
"252","3030.txt","((TieredMergePolicy) w.getConfig().getMergePolicy()).setForceMergeDeletesPctAllowed(10.0);","tmp.setForceMergeDeletesPctAllowed(10.0);","TieredMergePolicy tmp = newTieredMergePolicy();"
"253","3031.txt","((LogMergePolicy) writer.getConfig().getMergePolicy()).setUseCompoundFile(false);","mergePolicy.setUseCompoundFile(false);","LogMergePolicy mergePolicy = newLogMergePolicy(true, 10);"
"254","304.txt","assertEquals(pair.output, output);","assertEquals(output, pair.output);","assertEquals(pair.output, t.output);"
"255","3045.txt","String.class.getName());","""java.sql.String"");","String.valueOf(start));"
"256","307.txt","public void forceCleanup()","public void doGC()","public void forceCompaction()"
"257","3074.txt","docBase = context.docBase;","this.docBase = context.docBase;","this.docBase = context.docBase;"
"258","3078.txt","if (resultColumn.isGenerated() || resultColumn.isGeneratedForUnmatchedColumnInInsert())","if (resultColumn.isGenerated())","if (resultColumn.isGenerated() || otherResultColumn.isGenerated())"
"259","3080.txt","throw StandardException.newException(SQLState.LANG_RESULT_SET_NOT_OPEN, ""previous"");","throw StandardException.newException(SQLState.LANG_RESULT_SET_NOT_OPEN, ""next"");","throw StandardException.newException(SQLState.LANG_RESULT_SET_NOT_OPEN, ""first"");"
"260","3085.txt","for (FieldInfo fi : this) {","for (FieldInfo fi : fieldInfos) {","for (FieldInfo fieldInfo : this) {"
"261","3086.txt","theResults.close();","theResults.finish(); // release the result set, don't just close it","if (theResults.isClosed())"
"262","309.txt","protected String pathPrefix = null; // strip this from the beginning of a path","protected String pathPrefix = null; // strip this from the begging of a path","protected String abortErrorMessage = null;"
"263","3090.txt","""(Binary data value not displayed)"",","""XX-RESOLVE-XX"",","not set as a stream then this value should be ignored."
"264","3093.txt","if (endNumOpens-zkClientNumOpens != endNumCloses-zkClientNumCloses) {","if (endNumOpens-numOpens != endNumCloses-numCloses) {","if (endNumOpens-numOpens != endNumCloses-numCloses) {"
"265","3094.txt","javaPath = ""org.apache.derbyTesting.functionTests.tests."" + testDirName;","javaPath = ""org.apache.derbyTesting."" + testDirName;","//javaPath = ""org.apache.derbyTesting.functionTests.harness.MultiTest"";"
"266","3099.txt","return false;","throw new IllegalStateException(""No configured RPC daemon"");","return true;"
"267","3112.txt","Gossiper.instance.addLocalApplicationState(ApplicationState.STATUS, valueFactory.bootstrapping(token));","Gossiper.instance.addLocalApplicationState(ApplicationState.STATUS, valueFactory.normal(token));","Gossiper.instance.addLocalApplicationState(ApplicationState.STATUS, valueFactory.normal(token));"
"268","314.txt","for (int i = 0; i < 100*_TestUtil.getRandomMultiplier(); i++) {","for (int i = 0; i < 10; i++) {","for (int i = 1; i < numFields; i++) {"
"269","3143.txt","private void refill() {","private void refill() throws IOException {","private void flushBigram() {"
"270","315.txt","void incRef(Collection<String> files) throws IOException {","void incRef(List<String> files) throws IOException {","void decRef(Collection<String> files) throws IOException {"
"271","3165.txt","public boolean incrementToken() {","public boolean incrementToken() throws IOException {","public boolean incrementToken() throws IOException {"
"272","3168.txt","public void close() {}","public void close() throws IOException {}","public void setDoFail() {"
"273","317.txt","if (op != SpatialOperation.Intersects)","if (! SpatialOperation.is(op, SpatialOperation.IsWithin, SpatialOperation.Intersects, SpatialOperation.BBoxWithin, SpatialOperation.BBoxIntersects))","final SpatialOperation op = args.getOperation();"
"274","3172.txt","String segmentSuffix) {","String segmentSuffix) throws IOException {","String segmentSuffix) throws IOException {"
"275","3182.txt","public final int freq() {","public final int freq() throws IOException {","public final int docID() {"
"276","3183.txt","public float score() {","public float score() throws IOException {","public float freq() {"
"277","3193.txt","public void work(double units) {","public void work(double units) throws MergePolicy.MergeAbortedException {","public void work(double units) throws MergePolicy.MergeAbortedException {"
"278","3203.txt","void finish() {","void finish() throws IOException {","void shrinkHash() {"
"279","3207.txt","private void pushTop() {","private void pushTop() throws IOException {","private void pullTop() {"
"280","321.txt","IndexWriter writer = new IndexWriter(dir1, new IndexWriterConfig(TEST_VERSION_CURRENT, new MockAnalyzer()).setReaderTermsIndexDivisor(2));","IndexWriter writer = new IndexWriter(dir1, new IndexWriterConfig(TEST_VERSION_CURRENT, new MockAnalyzer()));","IndexWriter writer = new IndexWriter(dir1, new IndexWriterConfig(TEST_VERSION_CURRENT, new MockAnalyzer()));"
"281","3237.txt","ModifiableSolrParams params) {","ModifiableSolrParams params) throws IOException {","ModifiableSolrParams params) throws IOException {"
"282","3246.txt","{""ID"", ""2"", ""INTEGER NOT NULL"", ""GENERATED_BY_DEFAULT"", ""3"", ""1"", ""1"", ""D3175"", ""T"", ""R""}","{""ID"", ""2"", ""INTEGER NOT NULL"", ""GENERATED_BY_DEFAULT"", ""22"", ""1"", ""1"", ""D3175"", ""T"", ""R""}","{""ID"", ""3"", ""INTEGER NOT NULL"", ""GENERATED_BY_DEFAULT"", ""1"", ""1"", ""1"", ""D3175"", ""T"", ""R""}"
"283","3254.txt","agentContext.unregisterMBean(AbstractCompendiumHandler.this);","agentContext.unregisterMBean(getName());","agentContext.registerMBean(AbstractCompendiumHandler.this);"
"284","3283.txt","System.out.println(Thread.currentThread().getName() + "": EXC: "");","System.out.println(""EXC: "");","System.out.println(Thread.currentThread().getName() + "": NOW FAIL: "" + name);"
"285","3308.txt","throw new IllegalArgumentException(""faulty slice operation: bra="" + bra + "",ket="" + ket + "",limit="" + limit);","System.err.println(""faulty slice operation"");","modification, are permitted provided that the following conditions are met:"
"286","3309.txt","RandomIndexWriter iw = new RandomIndexWriter(random(), dir, cfg);","RandomIndexWriter iw = new RandomIndexWriter(random(), dir);","RandomIndexWriter iw = new RandomIndexWriter(random(), dir, iwc);"
"287","3319.txt","if (!se.isLockTimeout())","if (!se.getMessageId().equals(SQLState.LOCK_TIMEOUT))","if (savePoints.size() > 20)"
"288","3321.txt","else if (se.isLockTimeout())","else if (SQLState.LOCK_TIMEOUT.equals(se.getMessageId()))","else"
"289","3329.txt","Thread.sleep(INTERRUPT_RETRY_SLEEP);","Thread.sleep(500); // 0.5s","else"
"290","3398.txt","termState.skipFP = 0;","termState.skipFP = termState.bytesReader.readVLong();","termState.skipFP = termState.bytesReader.readVLong();"
"291","3399.txt","termState.skipFP = 0;","termState.skipFP = termState.bytesReader.readVLong();","termState.skipFP = termState.bytesReader.readVLong();"
"292","3406.txt","if (trackedId != null) {","if (getTrackingCount() > 0) {","if (trackedId != null && !trackedId.equals(serviceID)) {"
"293","3415.txt","int iters = 1000; // don't let it go too big, or jenkins will stack overflow: atLeast(1000);","int iters = atLeast(1000);","Field noLongTermField = new Field(""no_long_term"", ""This is a test where foo is highlighed and should be highlighted"", type);"
"294","3416.txt","case Types.JAVA_OBJECT:","case org.apache.derby.iapi.reference.JDBC20Translation.SQL_TYPES_JAVA_OBJECT:","case Types.CLOB:"
"295","3417.txt","case Types.BOOLEAN:","case org.apache.derby.iapi.reference.JDBC30Translation.SQL_TYPES_BOOLEAN:","case Types.DOUBLE:"
"296","3418.txt","case Types.JAVA_OBJECT:","case org.apache.derby.iapi.reference.JDBC20Translation.SQL_TYPES_JAVA_OBJECT:","case Types.OTHER:"
"297","3419.txt","if (colType == Types.JAVA_OBJECT) {","if (colType == org.apache.derby.iapi.reference.JDBC20Translation.SQL_TYPES_JAVA_OBJECT) {","if (colType != Types.CLOB) {"
"298","3420.txt","case Types.BOOLEAN:","case org.apache.derby.iapi.reference.JDBC30Translation.SQL_TYPES_BOOLEAN:","case Types.DOUBLE:"
"299","3426.txt","if (sum.equals(""""))","if (sum.startsWith(tit) || sum.equals(""""))","if (inImg && t1.image.equalsIgnoreCase(""alt"") && t2 != null)"
"300","3435.txt","byte[] partitionedCounter = ByteBufferUtil.getArray(pc);","byte[] partitionedCounter = Arrays.copyOfRange(pc.array(), pc.position() + pc.arrayOffset(), pc.limit());","ByteBuffer pc = FBUtilities.readShortByteArray(dis);"
"301","3449.txt","w.shutdown();","w.close();","super.tearDown();"
"302","345.txt","assertEquals(4, cms.getMaxThreadCount());","assertEquals(10, cms.getMaxThreadCount());","assertEquals(2, cms.getMaxThreadCount());"
"303","3451.txt","w.shutdown();","w.close();","super.tearDown();"
"304","3454.txt","w.shutdown();","w.close();","super.tearDown();"
"305","3457.txt","w.shutdown();","w.close();","super.tearDown();"
"306","3523.txt","w.shutdown();","w.close();","t.join();"
"307","3534.txt","w.shutdown();","w.close();","thread.join();"
"308","3540.txt","w.shutdown();","w.close();","thread.join();"
"309","3555.txt","iw.shutdown();","iw.close();","t.join();"
"310","3558.txt","iw.shutdown();","iw.close();","t.join();"
"311","3565.txt","w.shutdown();","w.close();","w.addDocument(d);"
"312","3574.txt","w.shutdown();","w.close();","t.join();"
"313","359.txt","public int size() {","public int size() throws IOException {","public int numDocs() {"
"314","3609.txt","w.shutdown();","w.close();","super.tearDown();"
"315","3611.txt","w.shutdown();","IOUtils.close(w);","bits.or(it);"
"316","3639.txt","iw.shutdown();","IOUtils.close(iw);","iwRef.decref();"
"317","364.txt","logger_.error(""Gossip error"", e);","throw new RuntimeException(e);","logger_.trace(""Gossip Digests are : "" + sb.toString());"
"318","3640.txt","writer.shutdown();","writer.close();","writer.flush();"
"319","3649.txt","store.unregisterMBean();","store.invalidate(); // unregistering old MBean to test how key cache will be loaded","store.invalidateKeyCache();"
"320","3650.txt","public synchronized void response(Message message)","public void response(Message message)","public synchronized void response(Message msg)"
"321","3659.txt","bf = BloomFilter.getFilter(keyCount, 15);","bf = new BloomFilter((int)keyCount, 15); // TODO fix long -> int cast","BloomFilter.serializer().serialize(bf, stream);"
"322","3664.txt","CFMetaData metadata = ThriftValidation.validateColumnFamily(keyspace, column_parent.column_family);","CFMetaData metadata = ThriftValidation.validateColumnFamily(keyspace, column_parent.column_family, false);","CFMetaData metadata = ThriftValidation.validateColumnFamily(keyspace, column_parent.column_family, true);"
"323","3667.txt","return 1;","return -1;","return -1;"
"324","3673.txt","(wd.getArgClasses() == null || Arrays.equals(new String [] {Class.class.getName()}, wd.getArgClasses()))) {","Arrays.equals(new String [] {Class.class.getName()}, wd.getArgClasses())) {","(wd.getArgClasses() != null ? Arrays.equals(argClassNames, wd.getArgClasses()) : true)) {"
"325","3676.txt","if (!packed) {","if (true || !packed) {","if (packed) {"
"326","3677.txt","res = ResourceBundle.getBundle(messageFileName);","res = ResourceBundle.getBundle(MESSAGE_FILE);","res = ResourceBundle.getBundle(messageFileName,locale);"
"327","3708.txt","{""08004"",""User '{0}' cannot upgrade database '{1}'. Only the database owner can perform this operation."",""40000""},","{""08004"",""User '{0}' cannot hard upgrade database '{1}'. Only the database owner can perform this operation."",""40000""},","{""08004"",""User '{0}' cannot decrypt database '{1}'. Only the database owner can perform this operation."",""40000""},"
"328","3709.txt","if (jvmflags != null && jvmflags.length() > 0)","if (jvmflags != null)","if ((jvmflags != null) && (jvmflags.length() > 0))"
"329","3721.txt","assertTrue(r1.isCurrent());","assertFalse(r1.isCurrent());","assertTrue(r2.isCurrent());"
"330","3723.txt","builder.append(column.getString(this)).append("","");","builder.append(getString(column.name())).append("","");","builder.append(getString(name)).append("","");"
"331","3726.txt","return Long.MIN_VALUE;","throw new UnsupportedOperationException();","return row.dataSize;"
"332","3735.txt","return ""0.3.0"";","return ""1"";","return 0;"
"333","3737.txt","if (Float.isInfinite((float)value))","if (Math.abs(value) > Float.MAX_VALUE)","if (!(theValue instanceof java.lang.Double))"
"334","3738.txt","Float.isInfinite((float)source)) {","(source > Float.MAX_VALUE || source < -Float.MAX_VALUE)) {","return new Float((float) source);"
"335","3743.txt","@Test","@Test @Ignore(""https://issues.apache.org/jira/browse/SOLR-5343"")","// Test:"
"336","3757.txt","new StatementFinder(langUtil.getNewEncodedInput(new BufferedInputStream(is, BUFFEREDFILESIZE), ""UTF8""));","new StatementFinder(langUtil.getNewInput(new BufferedInputStream(is, BUFFEREDFILESIZE)));","new StatementFinder(langUtil.getNewInput(new BufferedInputStream(newFile, BUFFEREDFILESIZE)));"
"337","3762.txt","}).start();","});","}"
"338","3767.txt","ignoreErrors = true;","ignoreErrors = Boolean.parseBoolean(cmd.getOptionValue(""k""));","return ignoreErrors;"
"339","3771.txt","if (value > 0) value *= -1;","value *= -1;","if (columns != null)"
"340","38.txt","checkHits(q(queryCenter, radiusDeg*3 + smallRadius/2), points.size(), null);","checkHits(q(queryCenter, radiusDeg*3*1.01), points.size(), null);","checkHits(q(queryCenter, radiusDeg - smallRadius/2), 0, null);"
"341","380.txt","tracker.timeUpperBound = 100000;","tracker.timeUpperBound = -1;","tracker.timeUpperBound = 500;"
"342","3807.txt","return entity == null ? null : getVariableResolver().replaceTokens(entity.allAttributes.get(name));","return super.getResolvedEntityAttribute(name);","return getVariableResolver().replaceTokens(template);"
"343","3815.txt","import org.apache.lucene.index.values.Type;","import org.apache.lucene.index.values.Values;","import org.apache.lucene.index.values.Bytes;"
"344","3818.txt","//  @Test","@Test","m = ModelSerializer.gson().fromJson(new StringReader(data), Mapping.class);"
"345","3819.txt","new String[][] {{""1"",null}});","null);","new String[][] {{""1""} });"
"346","3820.txt","return ""http://"" + hostAndPort + ""/"" + path;","return ""http://"" + hostAndPort + (path.isEmpty() ? """" : (""/"" + path));","return;"
"347","3826.txt","// FIXME: on windows, this often fails! assertEquals(0, dir.listAll().length);","assertEquals(0, dir.listAll().length);","throw new IOException(""now fail during delete"");"
"348","3828.txt","+info+"". Triggers got fired in this order:""+TRIGGER_INFO.get().toString(), orderOk);","+info, orderOk);","int fireCount = assertFiringOrder(""INSERT"", 1);"
"349","3874.txt","positionsIncrements[i] = _TestUtil.nextInt(random(), 1, 1 << 18);","positionsIncrements[i] = random().nextInt(1 << 18);","positionsIncrements[i] = _TestUtil.nextInt(random(), 1, 1 << 5);"
"350","3875.txt","throw new RuntimeException(""Error in multi-threaded import"", e);","LOG.error(""error in import"", e);","throw new DataImportHandlerException(DataImportHandlerException.SEVERE, t);"
"351","3895.txt","File dirFile = _TestUtil.getTempDir(""deletetest"");","File dirFile = new File(TEMP_DIR, ""deletetest"");","File dirFile = _TestUtil.getTempDir(""TestIndexReader.testFilesOpenClose"");"
"352","3901.txt","String remoteHost = remoteAddress.getAddress().getHostAddress();","String remoteHost = remoteAddress.getHostName();","String remoteHostIp = remoteAddress.getAddress().getHostAddress();"
"353","3921.txt","current = start;","current = newText.getIndex();","current = end;"
"354","3935.txt","transactions.add(Arrays.asList(""D"", ""D"", """", ""D"", ""D""));","transactions.add(Arrays.asList(""D""));","transactions.add(Arrays.asList(""D"", ""A"", ""C"", ""E"", ""B""));"
"355","3936.txt","transactions.add(Arrays.asList(""D"", ""D"", """", ""D"", ""D""));","transactions.add(Arrays.asList(""D""));","transactions.add(Arrays.asList(""D"", ""A"", ""C"", ""E"", ""B""));"
"356","3940.txt","resultSet.getResultColumns().forbidOverrides(null);","resultSet.getResultColumns().checkAutoincrement(null);","resultSet.getResultColumns().markUpdated();"
"357","3941.txt","resultColumnList.forbidOverrides(resultSet.getResultColumns());","resultColumnList.checkAutoincrement(resultSet.getResultColumns());","resultColumnList.checkStorableExpressions(resultSet.getResultColumns());"
"358","3944.txt","throw new CardinalityException(size(), x.size());","throw new CardinalityException();","throw new CardinalityException();"
"359","3945.txt","SSTableMetadata.createCollector());","ReplayPosition.NONE);","StorageService.getPartitioner(),"
"360","3946.txt","NamedList<Object> commands = new SimpleOrderedMap<Object>();","NamedList<Object> commands = new NamedList<Object>();","NamedList<Object> command = new SimpleOrderedMap<Object>();"
"361","3953.txt","abort();","IOUtils.closeWhileHandlingException(tvx, tvd, tvf);","close();"
"362","3954.txt","_optional = (""optional"".equals(attributes.get(""availability:"")));","_optional = false;","_optional = optional;"
"363","3956.txt","CFMetaData.applyImplicitDefaults(cf_def);","oldCfm.apply(cf_def);","CFMetaData.validateMemtableSettings(cf_def);"
"364","3960.txt","// Not in Java 5: @Override","@Override","/** blast some random strings through the analyzer */"
"365","3966.txt","if (builder.length() > 0 && builder.length() < maxLength) {","if (builder.length() > 0) {","if (builder.length() + value.length() > maxLength) {"
"366","397.txt","ModifiableSolrParams params) {","ModifiableSolrParams params) throws IOException {","ModifiableSolrParams params) throws IOException {"
"367","3973.txt","new StatementFinder(langUtil.getNewEncodedInput(new BufferedInputStream(is, BUFFEREDFILESIZE), ""UTF8""));","new StatementFinder(langUtil.getNewInput(new BufferedInputStream(is, BUFFEREDFILESIZE)));","new StatementFinder(langUtil.getNewInput(new BufferedInputStream(newFile, BUFFEREDFILESIZE)));"
"368","3994.txt","Thread.getDefaultUncaughtExceptionHandler().uncaughtException(Thread.currentThread(), e);","logger.error(""Error in executor futuretask"", e);","this.setRejectedExecutionHandler(new ThreadPoolExecutor.CallerRunsPolicy());"
"369","4020.txt","@exception StandardException Standard Derby Error Policy","@exception StandardException Cloudscape Standard Error Policy","@exception StandardException on error"
"370","4025.txt","{ // pattern is not necessarily a Derby Blob","{ // pattern is not necessarily a cloudscape Blob","{"
"371","4034.txt","{""XSLA4"",""Error encountered when attempting to write the transaction recovery log. Most likely the disk holding the recovery log is full. If the disk is full, the only way to proceed is to free up space on the disk by either expanding it or deleting files not related to Derby. It is also possible that the file system and/or disk where the Derby transaction log resides is read-only. The error can also be encountered if the disk or file system has failed."",""45000""},","{""XSLA4"",""Cannot write to the log, most likely the log is full.  Please delete unnecessary files.  It is also possible that the file system is read only, or the disk has failed, or some other problems with the media.  "",""45000""},","{""08004"",""Connection authentication failure occurred. Either the supplied credentials were invalid, or the database uses a password encryption scheme not compatible with the strong password substitution security mechanism. If this error started after upgrade, refer to the release note for DERBY-4483 for options."",""40000""},"
"372","4035.txt","assertFalse(r1.isCurrent());","assertTrue(r1.isCurrent());","assertFalse(r2.isCurrent());"
"373","4037.txt","logger.info(""Loading settings from "" + configFileName);","logger.debug(""Loading settings from "" + configFileName);","logger.info(""Loading schema version "" + uuid.toString());"
"374","4053.txt","optimizer.prepForNextRound();","((OptimizerImpl)optimizer).prepForNextRound();","optimizer.costPermutation();"
"375","4055.txt","ColumnFamilyStore.submitFlush(Memtable.this, cLogCtx);","MemtableManager.instance().submit(cfName_, Memtable.this, cLogCtx);","columnFamilies_.put(key, columnFamily);"
"376","4059.txt","agentContext.unregisterMBean(AbstractCompendiumHandler.this);","agentContext.unregisterMBean(getName());","agentContext.registerMBean(AbstractCompendiumHandler.this);"
"377","4068.txt","if (resultColumn.isGenerated() || resultColumn.isGeneratedForUnmatchedColumnInInsert())","if (resultColumn.isGenerated())","if (resultColumn.isGenerated() || otherResultColumn.isGenerated())"
"378","4071.txt","public StoredDocument doc(int docID, Set<String> fieldsToLoad) throws IOException {","public final StoredDocument document(int docID, Set<String> fieldsToLoad) throws IOException {","public StoredDocument doc(int docID) throws IOException {"
"379","4078.txt","0);","false);","tiq.pop(); // remove lowest in tiq"
"380","4085.txt","0),","false),","drillDownTerm.field(), drillDownTerm.bytes(),"
"381","4089.txt","0);","false);","for (int i = 0; i < map1.maxDoc(); ++i) {"
"382","4096.txt","0);","false);","});"
"383","4098.txt","0);","false);","for(int i=0;i<NUM_THREADS;i++)"
"384","4109.txt","@Test @Deprecated","@Test","@Test"
"385","4111.txt","columnName,","null,","columnName);"
